mrt_code,mrt_name,address,floor_type,room_num,price,size,floor,parking,link
R02,象山捷運站,台北市信義區信義路五段91巷,整層住家,4,575100,106.18,3F/27F,無,//rent.591.com.tw/home/house/detail/2/9431745.html
R22,北投捷運站,台北市北投區光明路151巷,整層住家,4,166700,106.1,27F/27F,無,//rent.591.com.tw/home/house/detail/2/9220371.html
BR11,南京復興捷運站,台北市松山區敦化北路120巷,整層住家,3,454300,106.31,10F/10F,無,//rent.591.com.tw/home/house/detail/2/9195979.html
BR21,葫洲捷運站,台北市內湖區成功路五段450巷,整層住家,5,241600,106.33,12F/14F,無,//rent.591.com.tw/home/house/detail/2/9426891.html
R19,石牌捷運站,台北市北投區石牌路二段315巷,整層住家,4,148400,106.34,3F/15F,無,//rent.591.com.tw/home/house/detail/2/9308994.html
G18,南京三民捷運站,台北市松山區健康路,整層住家,4,281700,106.49,6F/15F,無,//rent.591.com.tw/home/house/detail/2/9229638.html
R03,台北101/世貿捷運站,台北市信義區松平路50巷,整層住家,4,287300,106.51,4F/8F,無,//rent.591.com.tw/home/house/detail/2/9330334.html
G04,大坪林捷運站,台北市文山區辛亥路六段21巷,整層住家,5,120500,106.86,21F/22F,無,//rent.591.com.tw/home/house/detail/2/9308639.html
R15,劍潭捷運站,台北市士林區基河路,整層住家,3,212600,106.95,9F/21F,無,//rent.591.com.tw/home/house/detail/2/9449636.html
BR08,科技大樓捷運站,台北市大安區敦南街,整層住家,4,357600,106,5F/16F,無,//rent.591.com.tw/home/house/detail/2/9358398.html
BR15,劍南路捷運站,台北市內湖區文湖街,整層住家,4,203500,107.22,14F/15F,無,//rent.591.com.tw/home/house/detail/2/9372882.html
G19,松山捷運站,台北市內湖區行善路281巷,整層住家,4,287300,107.2,1F/10F,無,//rent.591.com.tw/home/house/detail/2/9224517.html
G19,松山捷運站,台北市信義區市民大道六段,整層住家,4,251000,107.33,14F/16F,無,//rent.591.com.tw/home/house/detail/2/9432888.html
G19,松山捷運站,台北市內湖區行善路333巷,整層住家,4,169100,107.59,6F/9F,無,//rent.591.com.tw/home/house/detail/2/9344220.html
BL17,國父紀念館捷運站,台北市大安區仁愛路四段408巷18號,整層住家,3,374500,107.68,4F/13F,無,//rent.591.com.tw/home/house/detail/2/9365834.html
BR05,辛亥捷運站,台北市文山區和平東路四段66巷,整層住家,4,130000,108.22,12F/16F,無,//rent.591.com.tw/home/house/detail/2/9244917.html
R12,雙連捷運站,台北市大同區太原路,整層住家,7,188000,108.23,3F/19F,無,//rent.591.com.tw/home/house/detail/2/9282993.html
BR14,大直捷運站,台北市中山區大直街20巷,整層住家,4,222300,108.27,14F/15F,無,//rent.591.com.tw/home/house/detail/2/9381012.html
BR14,大直捷運站,台北市中山區大直街20巷21號,整層住家,4,222300,108.27,14F/15F,無,//rent.591.com.tw/home/house/detail/2/9415534.html
G19,松山捷運站,台北市信義區市民大道六段,整層住家,2,263100,108.35,15F/16F,無,//rent.591.com.tw/home/house/detail/2/9294791.html
BR12,中山國中捷運站,台北市松山區復興北路313巷,整層住家,5,267900,108.43,11F/11F,無,//rent.591.com.tw/home/house/detail/2/9200138.html
G09,古亭捷運站,台北市中正區三元街,整層住家,4,164300,108.4,2F/11F,無,//rent.591.com.tw/home/house/detail/2/9364159.html
G09,古亭捷運站,台北市中正區三元街,整層住家,3,166700,108.4,2F/11F,無,//rent.591.com.tw/home/house/detail/2/9365115.html
R07,東門捷運站,台北市中正區仁愛路二段,整層住家,3,280300,108.57,3F/15F,無,//rent.591.com.tw/home/house/detail/2/9412904.html
R07,東門捷運站,台北市中正區仁愛路二段6號,整層住家,3,280300,108.57,3F/15F,無,//rent.591.com.tw/home/house/detail/2/9233211.html
BR21,葫洲捷運站,台北市內湖區民權東路六段280巷,整層住家,5,151700,108.72,1F/7F,無,//rent.591.com.tw/home/house/detail/2/9273971.html
BL13,善導寺捷運站,台北市中正區濟南路一段,整層住家,4,326200,108.85,10F/15F,無,//rent.591.com.tw/home/house/detail/2/9361045.html
G10,中正紀念堂捷運站,台北市中正區林森南路,整層住家,2,169100,109.31,1F/7F,無,//rent.591.com.tw/home/house/detail/2/9124213.html
R17,芝山捷運站,台北市士林區中山北路七段,整層住家,3,231500,109.36,整棟/4F,無,//rent.591.com.tw/home/house/detail/2/9418137.html
BL21,昆陽捷運站,台北市內湖區行善路333巷80號,整層住家,4,168700,109.53,3F/9F,無,//rent.591.com.tw/home/house/detail/2/9380086.html
BR18,文德捷運站,台北市內湖區文德路,整層住家,4,168700,109.55,6F/17F,無,//rent.591.com.tw/home/house/detail/2/9374160.html
R21,奇岩捷運站,台北市北投區三合街一段,整層住家,4,164300,109.81,4F/9F,無,//rent.591.com.tw/home/house/detail/2/8866421.html
BL18,市政府捷運站,台北市信義區永吉路30巷,整層住家,1,265800,109.83,4F/12F,無,//rent.591.com.tw/home/house/detail/2/9335202.html
R20,唭哩岸捷運站,台北市北投區奇岩路258號,整層住家,4,88900,109.91,3F/6F,無,//rent.591.com.tw/home/house/detail/2/9284135.html
G11,小南門捷運站,台北市萬華區中華路一段,整層住家,5,164300,110.41,5F/15F,無,//rent.591.com.tw/home/house/detail/2/9182992.html
O09,行天宮捷運站,台北市中山區松江路170巷,整層住家,4,225000,110.46,10F/11F,無,//rent.591.com.tw/home/house/detail/2/9172487.html
R20,唭哩岸捷運站,台北市北投區東華街二段,整層住家,5,183200,110.6,11F/16F,無,//rent.591.com.tw/home/house/detail/2/9356838.html
G08,台電大樓捷運站,台北市大安區羅斯福路三段,整層住家,4,336100,110.6,17F/19F,無,//rent.591.com.tw/home/house/detail/2/9434269.html
BR01,動物園捷運站,台北市文山區政大一街,整層住家,4,156600,110.84,4F/5F,無,//rent.591.com.tw/home/house/detail/2/9429762.html
R20,唭哩岸捷運站,台北市北投區東華街二段,整層住家,5,178500,110.92,11F/16F,無,//rent.591.com.tw/home/house/detail/2/9185617.html
G10,中正紀念堂捷運站,台北市中正區寧波西街,整層住家,3,287300,110,10F/14F,無,//rent.591.com.tw/home/house/detail/2/9354580.html
R02,象山捷運站,台北市信義區松平路,整層住家,5,478400,111.07,3F/10F,無,//rent.591.com.tw/home/house/detail/2/9345977.html
BR11,南京復興捷運站,台北市中山區復興北路,整層住家,4,331000,111.07,4F/14F,無,//rent.591.com.tw/home/house/detail/2/9420026.html
BR18,文德捷運站,台北市內湖區內湖路三段76巷,整層住家,4,180900,111.25,1F/8F,無,//rent.591.com.tw/home/house/detail/2/9266709.html
BR08,科技大樓捷運站,台北市大安區復興南路二段171巷,整層住家,7,357600,111.66,14F/14F,無,//rent.591.com.tw/home/house/detail/2/9267340.html
R22A,新北投捷運站,台北市北投區翠嶺路28號,整層住家,2,112400,111.67,4F/5F,無,//rent.591.com.tw/home/house/detail/2/9451371.html
BR08,科技大樓捷運站,台北市大安區復興南路二段71巷,整層住家,7,357600,111.67,14F/14F,無,//rent.591.com.tw/home/house/detail/2/9401343.html
R21,奇岩捷運站,台北市北投區三合街一段,整層住家,4,168700,111.85,5F/9F,無,//rent.591.com.tw/home/house/detail/2/9037624.html
R21,奇岩捷運站,台北市北投區三合街一段,整層住家,3,190400,111.85,7F/9F,無,//rent.591.com.tw/home/house/detail/2/9400679.html
BR04,萬芳醫院捷運站,台北市文山區辛亥路六段21巷,整層住家,3,120800,111.9,22F/22F,無,//rent.591.com.tw/home/house/detail/2/9202075.html
BR09,大安捷運站,台北市大安區新生南路二段,整層住家,4,526800,112.05,2F/13F,無,//rent.591.com.tw/home/house/detail/2/9432146.html
